date,TBILL_idx
2021-06,203.35
2021-07,203.36
2021-08,203.37
2021-09,203.37
2021-10,203.38
2021-11,203.39
2021-12,203.4
2022-01,203.4
2022-02,203.42
2022-03,203.46
2022-04,203.51
2022-05,203.61
2022-06,203.71
2022-07,203.88
2022-08,204.26
2022-09,204.68
2022-10,205.12
2022-11,205.76
2022-12,206.49
